Scenario,Risk factors included ,Global land area protected [%],,perc_tot,perc_increse
baseline,-,28.08,16.36,28.08,16.36
1,G,28.44,16.72,28.44,16.72
2,L,29.23,17.51,29.23,17.51
3,C,28.45,16.73,28.45,16.73
4,G > L,29.2,17.48,29.2,17.48
5,L > G,29.23,17.51,29.23,17.51
6,G > C,28.43,16.71,28.43,16.71
7,C > G,28.45,16.73,28.45,16.73
8,L > C,29.19,17.47,29.19,17.47
9,C > L,29.19,17.47,29.19,17.47
10,G > L > C,29.17,17.45,29.17,17.45
11,G > C > L,29.2,17.48,29.2,17.48
12,L > G > C,29.19,17.47,29.19,17.47
13,L > C > G,29.19,17.47,29.19,17.47
14,C > G > L,29.2,17.48,29.2,17.48
15,C > L > G,29.19,17.47,29.19,17.47
,,,,,
