NAME_0,run.001_gap.0.01_flip_priority.FALSE_s.000_sum,run.002_gap.0.01_flip_priority.FALSE_s.100_sum,run.003_gap.0.01_flip_priority.FALSE_s.010_sum,run.005_gap.0.01_flip_priority.FALSE_s.001_sum,run.006_gap.0.01_flip_priority.FALSE_s.101_sum,run.007_gap.0.01_flip_priority.FALSE_s.011_sum,run.009_gap.0.01_flip_priority.TRUE_s.000_sum,run.010_gap.0.01_flip_priority.TRUE_s.100_sum,run.011_gap.0.01_flip_priority.TRUE_s.010_sum,run.012_gap.0.01_flip_priority.TRUE_s.110_sum,run.013_gap.0.01_flip_priority.TRUE_s.001_sum,run.014_gap.0.01_flip_priority.TRUE_s.101_sum,run.015_gap.0.01_flip_priority.TRUE_s.011_sum,run.101_gap.0.05_flip_priority.FALSE_s.000_sum,run.102_gap.0.05_flip_priority.FALSE_s.100_sum,run.103_gap.0.05_flip_priority.FALSE_s.010_sum,run.104_gap.0.05_flip_priority.FALSE_s.110_sum,run.105_gap.0.05_flip_priority.FALSE_s.001_sum,run.106_gap.0.05_flip_priority.FALSE_s.101_sum,run.107_gap.0.05_flip_priority.FALSE_s.011_sum,run.108_gap.0.05_flip_priority.FALSE_s.111_sum,run.109_gap.0.05_flip_priority.TRUE_s.000_sum,run.110_gap.0.05_flip_priority.TRUE_s.100_sum,run.111_gap.0.05_flip_priority.TRUE_s.010_sum,run.112_gap.0.05_flip_priority.TRUE_s.110_sum,run.113_gap.0.05_flip_priority.TRUE_s.001_sum,run.114_gap.0.05_flip_priority.TRUE_s.101_sum,run.115_gap.0.05_flip_priority.TRUE_s.011_sum,run.116_gap.0.05_flip_priority.TRUE_s.111_sum,run.201_gap.0.03_flip_priority.FALSE_s.000_sum,run.202_gap.0.03_flip_priority.FALSE_s.100_sum,run.203_gap.0.03_flip_priority.FALSE_s.010_sum,run.204_gap.0.03_flip_priority.FALSE_s.110_sum,run.205_gap.0.03_flip_priority.FALSE_s.001_sum,run.206_gap.0.03_flip_priority.FALSE_s.101_sum,run.207_gap.0.03_flip_priority.FALSE_s.011_sum,run.209_gap.0.03_flip_priority.TRUE_s.000_sum,run.210_gap.0.03_flip_priority.TRUE_s.100_sum,run.211_gap.0.03_flip_priority.TRUE_s.010_sum,run.212_gap.0.03_flip_priority.TRUE_s.110_sum,run.213_gap.0.03_flip_priority.TRUE_s.001_sum,run.214_gap.0.03_flip_priority.TRUE_s.101_sum,run.215_gap.0.03_flip_priority.TRUE_s.011_sum
Afghanistan,1426,1017,1891,1626,1152,1751,1426,1017,1891,1560,1626,1279,1645,1426,1017,1891,1891,1626,1623,1655,1654,1426,1017,1891,1292,1626,1067,1650,1650,1426,1017,1891,1757,1626,1437,1675,1426,1017,1891,1393,1626,1140,1643
Åland,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
Albania,52,43,61,119,43,62,52,43,61,57,119,43,67,52,43,61,61,119,119,65,65,52,43,61,58,119,43,65,65,52,43,61,61,119,54,64,52,43,61,58,119,43,67
Algeria,7698,4793,7011,7002,6763,7277,7698,4793,7011,6144,7002,6878,6911,7698,4793,7011,7016,7002,6999,7048,7049,7698,4793,7011,5702,7002,6895,6961,6961,7698,4793,7011,6316,7002,6885,7161,7698,4793,7011,5937,7002,6980,6922
Andorra,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Angola,3523,3628,3673,3496,3567,3611,3523,3628,3673,3654,3496,3553,3591,3523,3628,3673,3668,3496,3495,3601,3601,3523,3628,3673,3632,3496,3607,3602,3602,3523,3628,3673,3680,3496,3518,3604,3523,3628,3673,3632,3496,3577,3604
Argentina,8273,8160,8808,8946,8253,8784,8273,8160,8808,8512,8946,8361,8790,8273,8160,8808,8791,8946,8932,8799,8803,8273,8160,8808,8375,8946,8216,8762,8762,8273,8160,8808,8685,8946,8656,8795,8273,8160,8808,8420,8946,8248,8749
Armenia,89,134,121,144,136,114,89,134,121,115,144,122,126,89,134,121,118,144,141,117,118,89,134,121,124,144,137,117,117,89,134,121,113,144,138,117,89,134,121,117,144,137,119
Australia,24571,24627,25547,25791,25270,25872,24571,24627,25547,25368,25791,25502,25643,24571,24627,25547,25534,25791,25768,25754,25755,24571,24627,25547,25133,25791,25064,25700,25700,24571,24627,25547,25524,25791,25692,25800,24571,24627,25547,25215,25791,25240,25634
Austria,254,454,360,301,471,342,254,454,360,354,301,378,316,254,454,360,361,301,298,337,336,254,454,360,372,301,485,329,329,254,454,360,354,301,322,344,254,454,360,372,301,484,316
Azerbaijan,338,186,253,416,219,257,338,186,253,240,416,225,301,338,186,253,251,416,417,257,257,338,186,253,223,416,207,251,251,338,186,253,252,416,275,259,338,186,253,227,416,217,269
Bahamas,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Bangladesh,273,163,316,312,200,320,273,163,316,294,312,264,326,273,163,316,312,312,310,324,324,273,163,316,235,312,172,325,325,273,163,316,307,312,297,321,273,163,316,268,312,194,328
Belarus,553,178,224,379,182,257,553,178,224,222,379,246,367,553,178,224,225,379,382,297,297,553,178,224,188,379,178,329,329,553,178,224,231,379,347,263,553,178,224,208,379,180,351
Belgium,75,84,89,85,75,89,75,84,89,91,85,81,84,75,84,89,89,85,85,89,89,75,84,89,89,85,75,89,89,75,84,89,89,85,82,89,75,84,89,90,85,75,87
Belize,72,76,80,84,78,80,72,76,80,73,84,85,80,72,76,80,80,84,88,80,80,72,76,80,73,84,75,79,79,72,76,80,80,84,86,80,72,76,80,75,84,77,77
Benin,394,573,475,374,519,465,394,573,475,477,374,436,392,394,573,475,475,374,369,455,455,394,573,475,530,374,553,442,442,394,573,475,477,374,380,460,394,573,475,515,374,528,411
Bhutan,212,238,240,248,237,238,212,238,240,238,248,239,234,212,238,240,241,248,246,240,240,212,238,240,229,248,236,238,238,212,238,240,239,248,235,237,212,238,240,230,248,239,237
Bolivia,3570,3492,3910,3805,3521,3797,3570,3492,3910,3653,3805,3579,3762,3570,3492,3910,3927,3805,3798,3752,3750,3570,3492,3910,3546,3805,3497,3744,3744,3570,3492,3910,3778,3805,3688,3772,3570,3492,3910,3589,3805,3511,3750
Bosnia and Herzegovina,11,7,54,37,7,48,11,7,54,42,37,8,35,11,7,54,54,37,35,44,44,11,7,54,20,37,7,45,45,11,7,54,53,37,19,46,11,7,54,30,37,7,42
Botswana,1848,2056,1870,1739,1792,1769,1848,2056,1870,1952,1739,1757,1743,1848,2056,1870,1863,1739,1733,1776,1776,1848,2056,1870,2031,1739,1878,1778,1778,1848,2056,1870,1939,1739,1733,1774,1848,2056,1870,1999,1739,1803,1779
Brazil,34332,34381,35070,35107,34553,34878,34332,34381,35070,34647,35107,34715,34889,34332,34381,35070,35069,35107,35098,34844,34847,34332,34381,35070,34443,35107,34460,34818,34818,34332,34381,35070,34912,35107,34926,34846,34332,34381,35070,34498,35107,34534,34808
Brunei,18,40,38,26,23,38,18,40,38,38,26,23,32,18,40,38,38,26,24,38,38,18,40,38,38,26,33,38,38,18,40,38,38,26,26,38,18,40,38,38,26,25,37
