NAME_0,run.001_gap.0.01_flip_priority.FALSE_s.000_sum,run.002_gap.0.01_flip_priority.FALSE_s.100_sum,run.003_gap.0.01_flip_priority.FALSE_s.010_sum,run.005_gap.0.01_flip_priority.FALSE_s.001_sum,run.006_gap.0.01_flip_priority.FALSE_s.101_sum,run.007_gap.0.01_flip_priority.FALSE_s.011_sum,run.009_gap.0.01_flip_priority.TRUE_s.000_sum,run.010_gap.0.01_flip_priority.TRUE_s.100_sum,run.011_gap.0.01_flip_priority.TRUE_s.010_sum,run.012_gap.0.01_flip_priority.TRUE_s.110_sum,run.013_gap.0.01_flip_priority.TRUE_s.001_sum,run.014_gap.0.01_flip_priority.TRUE_s.101_sum,run.015_gap.0.01_flip_priority.TRUE_s.011_sum,run.101_gap.0.05_flip_priority.FALSE_s.000_sum,run.102_gap.0.05_flip_priority.FALSE_s.100_sum,run.103_gap.0.05_flip_priority.FALSE_s.010_sum,run.104_gap.0.05_flip_priority.FALSE_s.110_sum,run.105_gap.0.05_flip_priority.FALSE_s.001_sum,run.106_gap.0.05_flip_priority.FALSE_s.101_sum,run.107_gap.0.05_flip_priority.FALSE_s.011_sum,run.108_gap.0.05_flip_priority.FALSE_s.111_sum,run.109_gap.0.05_flip_priority.TRUE_s.000_sum,run.110_gap.0.05_flip_priority.TRUE_s.100_sum,run.111_gap.0.05_flip_priority.TRUE_s.010_sum,run.112_gap.0.05_flip_priority.TRUE_s.110_sum,run.113_gap.0.05_flip_priority.TRUE_s.001_sum,run.114_gap.0.05_flip_priority.TRUE_s.101_sum,run.115_gap.0.05_flip_priority.TRUE_s.011_sum,run.116_gap.0.05_flip_priority.TRUE_s.111_sum
Afghanistan,1426,1017,1891,1626,1152,1751,1426,1017,1891,1560,1626,1279,1645,1426,1017,1891,1891,1626,1623,1655,1654,1426,1017,1891,1292,1626,1067,1650,1650
Åland,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0
Albania,52,43,61,119,43,62,52,43,61,57,119,43,67,52,43,61,61,119,119,65,65,52,43,61,58,119,43,65,65
Algeria,7698,4793,7011,7002,6763,7277,7698,4793,7011,6144,7002,6878,6911,7698,4793,7011,7016,7002,6999,7048,7049,7698,4793,7011,5702,7002,6895,6961,6961
Andorra,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Angola,3523,3628,3673,3496,3567,3611,3523,3628,3673,3654,3496,3553,3591,3523,3628,3673,3668,3496,3495,3601,3601,3523,3628,3673,3632,3496,3607,3602,3602
Argentina,8273,8160,8808,8946,8253,8784,8273,8160,8808,8512,8946,8361,8790,8273,8160,8808,8791,8946,8932,8799,8803,8273,8160,8808,8375,8946,8216,8762,8762
Armenia,89,134,121,144,136,114,89,134,121,115,144,122,126,89,134,121,118,144,141,117,118,89,134,121,124,144,137,117,117
Australia,24571,24627,25547,25791,25270,25872,24571,24627,25547,25368,25791,25502,25643,24571,24627,25547,25534,25791,25768,25754,25755,24571,24627,25547,25133,25791,25064,25700,25700
Austria,254,454,360,301,471,342,254,454,360,354,301,378,316,254,454,360,361,301,298,337,336,254,454,360,372,301,485,329,329
Azerbaijan,338,186,253,416,219,257,338,186,253,240,416,225,301,338,186,253,251,416,417,257,257,338,186,253,223,416,207,251,251
Bahamas,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Bangladesh,273,163,316,312,200,320,273,163,316,294,312,264,326,273,163,316,312,312,310,324,324,273,163,316,235,312,172,325,325
Belarus,553,178,224,379,182,257,553,178,224,222,379,246,367,553,178,224,225,379,382,297,297,553,178,224,188,379,178,329,329
Belgium,75,84,89,85,75,89,75,84,89,91,85,81,84,75,84,89,89,85,85,89,89,75,84,89,89,85,75,89,89
Belize,72,76,80,84,78,80,72,76,80,73,84,85,80,72,76,80,80,84,88,80,80,72,76,80,73,84,75,79,79
Benin,394,573,475,374,519,465,394,573,475,477,374,436,392,394,573,475,475,374,369,455,455,394,573,475,530,374,553,442,442
Bhutan,212,238,240,248,237,238,212,238,240,238,248,239,234,212,238,240,241,248,246,240,240,212,238,240,229,248,236,238,238
Bolivia,3570,3492,3910,3805,3521,3797,3570,3492,3910,3653,3805,3579,3762,3570,3492,3910,3927,3805,3798,3752,3750,3570,3492,3910,3546,3805,3497,3744,3744
Bosnia and Herzegovina,11,7,54,37,7,48,11,7,54,42,37,8,35,11,7,54,54,37,35,44,44,11,7,54,20,37,7,45,45
Botswana,1848,2056,1870,1739,1792,1769,1848,2056,1870,1952,1739,1757,1743,1848,2056,1870,1863,1739,1733,1776,1776,1848,2056,1870,2031,1739,1878,1778,1778
Brazil,34332,34381,35070,35107,34553,34878,34332,34381,35070,34647,35107,34715,34889,34332,34381,35070,35069,35107,35098,34844,34847,34332,34381,35070,34443,35107,34460,34818,34818
Brunei,18,40,38,26,23,38,18,40,38,38,26,23,32,18,40,38,38,26,24,38,38,18,40,38,38,26,33,38,38
Bulgaria,426,462,487,498,441,481,426,462,487,473,498,451,475,426,462,487,487,498,500,476,476,426,462,487,449,498,451,469,469
Burkina Faso,981,1060,744,810,890,805,981,1060,744,854,810,873,845,981,1060,744,741,810,810,832,832,981,1060,744,991,810,950,870,870
Burundi,18,17,71,84,17,80,18,17,71,45,84,25,77,18,17,71,70,84,85,81,82,18,17,71,18,84,17,83,83
Cambodia,535,501,755,583,544,731,535,501,755,657,583,554,619,535,501,755,750,583,582,716,717,535,501,755,579,583,520,694,694
Cameroon,1652,1675,1565,1701,1738,1544,1652,1675,1565,1561,1701,1693,1624,1652,1675,1565,1561,1701,1704,1563,1561,1652,1675,1565,1572,1701,1763,1569,1569
Canada,25391,27976,25137,27072,27597,26054,25391,27976,25137,26153,27072,27323,26612,25391,27976,25137,25060,27072,27080,26130,26123,25391,27976,25137,26636,27072,27777,26184,26184
Central African Republic,1739,1728,2007,1802,1778,2099,1739,1728,2007,1882,1802,1809,1932,1739,1728,2007,2001,1802,1806,2079,2081,1739,1728,2007,1858,1802,1745,2064,2064
Chad,3119,2699,5080,4184,3413,4985,3119,2699,5080,4444,4184,3888,4219,3119,2699,5080,5030,4184,4185,4482,4480,3119,2699,5080,3493,4184,3155,4353,4353
Chile,2232,2585,2341,2411,2538,2388,2232,2585,2341,2531,2411,2517,2417,2232,2585,2341,2327,2411,2413,2404,2400,2232,2585,2341,2543,2411,2556,2411,2411
China,26439,26133,27694,28326,26514,27819,26439,26133,27694,26810,28326,26850,27630,26439,26133,27694,27676,28326,28316,27701,27700,26439,26133,27694,26522,28326,26374,27629,27629
Colombia,3117,3183,3424,3477,3194,3471,3117,3183,3424,3250,3477,3248,3467,3117,3183,3424,3415,3477,3474,3453,3452,3117,3183,3424,3196,3477,3167,3457,3457
Costa Rica,148,184,164,175,179,163,148,184,164,165,175,178,166,148,184,164,164,175,173,160,160,148,184,164,167,175,178,161,161
Côte d'Ivoire,1005,846,1074,965,892,1033,1005,846,1074,1026,965,915,940,1005,846,1074,1073,965,966,998,998,1005,846,1074,918,965,888,970,970
Croatia,174,194,211,228,190,213,174,194,211,209,228,214,235,174,194,211,211,228,227,210,210,174,194,211,203,228,194,210,210
Cuba,241,241,241,244,241,242,241,241,241,241,244,241,241,241,241,241,241,244,244,241,241,241,241,241,241,244,241,241,241
Cyprus,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Czech Republic,167,169,182,227,170,177,167,169,182,178,227,198,185,167,169,182,182,227,225,178,180,167,169,182,174,227,168,179,179
