NAME_0,rds_run.001_s.0001_gap.0.05_flp.FALSE,rds_run.002_s.1001_gap.0.05_flp.FALSE,rds_run.003_s.0101_gap.0.05_flp.FALSE,rds_run.004_s.1101_gap.0.05_flp.FALSE,rds_run.005_s.0011_gap.0.05_flp.FALSE,rds_run.006_s.1011_gap.0.05_flp.FALSE,rds_run.007_s.0111_gap.0.05_flp.FALSE,rds_run.008_s.1111_gap.0.05_flp.FALSE
Afghanistan,23,15.95,26.66,26.57,23.08,15.89,25.25,26.58
Akrotiri and Dhekelia,50,50,50,50,50,50,50,50
Åland,0,91.67,33.33,8.33,0,83.33,16.67,8.33
Albania,19.1,17.36,21.88,21.88,19.79,18.06,19.44,21.18
Algeria,32.7,20.55,30.02,29.85,27.53,21.03,30.34,30.06
Andorra,50,50,50,50,50,50,50,50
Angola,28.8,29.41,29.78,29.74,28.91,29.34,29.55,29.7
Antigua and Barbuda,25,25,25,25,25,25,25,25
Argentina,30.33,29.7,31.34,31.25,30.44,29.7,30.78,31.35
Armenia,24.66,43.58,33.78,33.45,37.5,43.58,36.15,33.11
Aruba,50,50,50,50,50,100,50,50
Australia,32.94,32.96,34.06,34.03,33.11,32.95,33.4,33.97
Austria,28.98,54.61,29.1,29.1,29.94,53.17,28.98,29.1
Azerbaijan,45.02,21.81,22.98,22.74,41.5,21.81,27.55,22.86
Bahamas,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3
Bahrain,0,0,0,0,0,0,0,0
Bangladesh,24.98,13.18,24.98,24.76,31.86,13.18,28.02,25.42
Barbados,50,50,50,50,50,50,50,50
Belarus,29.07,8.62,31.93,32.03,16.47,8.62,23.35,31.44
Belgium,24.92,24.92,30.1,29.13,28.16,25.57,28.16,29.13
Belize,36.82,39.09,36.82,36.36,36.36,37.73,36.36,36.36
Benin,33.68,45.9,37.78,37.95,37.18,45.98,38.29,37.09
Bhutan,52.33,60.88,56.99,56.48,53.63,59.59,55.96,56.48
Bolivia,32.77,32.08,35.04,34.88,33.36,32.11,34.12,34.9
"Bonaire, Sint Eustatius and Saba",0,100,50,50,50,100,50,50
Bosnia and Herzegovina,2.34,1.76,7.23,7.62,4.69,1.76,4.88,7.81
Botswana,31.93,35.3,30.56,30.56,30.66,35.16,30.57,30.56
Brazil,40.92,40.94,41.72,41.69,41.06,40.94,41.26,41.66
British Virgin Islands,100,100,100,100,100,100,100,100
Brunei,38.18,100,45.45,47.27,32.73,100,47.27,47.27
Bulgaria,41.83,43.54,48.56,48.56,44.34,43.63,46.41,47.85
Burkina Faso,37.08,40.17,26.09,26.06,32.82,40.17,27.18,26.13
Burundi,6.46,7.22,11.03,11.03,7.22,7.22,14.07,12.55
Cambodia,30.72,28.62,42.43,42.71,34.36,28.62,35.8,42.43
Cameroon,35.25,35.93,38.36,38.3,32.6,35.99,36.61,38.25
Canada,27.47,30.83,27.43,27.39,27.67,30.77,27.61,27.39
Cayman Islands,50,50,50,50,50,50,50,50
Central African Republic,27.81,27.56,27.85,27.77,27.64,27.56,27.67,27.73
Chad,24.42,20.85,36.21,36.35,29.73,20.89,33.09,36.07
Chile,36.74,41.8,38.44,38.7,36.74,41.65,37.16,38.24
China,28.37,27.92,30.37,30.34,29.41,27.92,29.54,30.37
Colombia,28.19,28.52,29.87,29.68,28.07,28.45,28.65,29.14
Comoros,40,40,40,40,40,40,40,40
Costa Rica,35.8,43.19,42.41,42.41,35.21,42.61,36.77,41.83
Côte d'Ivoire,31.19,26.49,33.01,33.04,29.7,26.49,31.81,32.98
Croatia,37.46,41.87,50.35,51.06,41.17,41.87,46.11,50.71
Cuba,32.19,32.19,32.28,32.28,32.19,32.19,32.19,32.28
Curaçao,60,100,40,40,40,40,40,40
Cyprus,55.93,55.93,57.63,57.63,55.93,55.93,55.93,55.93
Czech Republic,21.19,21.57,23.86,23.6,21.7,21.57,22.34,23.48
Democratic Republic of the Congo,29.15,28.09,29.59,29.57,29.69,28.13,29.48,29.63
Denmark,18.25,39.57,23.46,23.46,21.56,38.63,20.85,23.46
Djibouti,66.06,97.25,25.23,25.23,22.48,97.25,25.69,31.19
Dominica,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5
Dominican Republic,36.55,37.18,39.71,39.71,37.39,37.18,37.39,37.82
Ecuador,40.26,38.19,41.82,41.31,39.83,38.31,40.49,41.39
Egypt,29.83,52.5,44.09,42.28,29.01,52.46,40.61,44.29
El Salvador,33.01,48.06,36.89,35.92,32.52,48.06,33.01,35.92
Equatorial Guinea,22.1,21.35,33.33,34.46,21.35,21.35,28.09,32.58
Eritrea,31.35,23.33,34.7,34.7,53.09,23.33,40.55,34.95
Estonia,22.55,74.72,33.26,34.17,41.46,71.53,38.27,33.49
Ethiopia,30.82,35.02,38.8,38.8,31.06,34.89,34.44,38.45
Falkland Islands,30.7,39.47,45.61,51.75,31.58,37.72,34.21,42.11
Faroe Islands,0,100,0,0,0,100,0,0
Fiji,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99
Finland,30.93,98.81,31.69,31.57,29.25,96.16,30.87,31.87
France,31.24,32.59,33.15,33.13,33.1,32.57,32.77,33.5
French Guiana,54.55,58.55,54.67,54.91,54.42,58.55,54.42,54.91
French Polynesia,100,100,100,100,100,100,100,100
Gabon,33.55,40.48,33.28,33.06,33.59,40.4,32.83,33.24
Gambia,25,12.5,32.14,30.36,44.64,12.5,38.39,31.25
Georgia,39.42,42.17,53.04,52.46,51.88,42.17,50.87,51.01
Germany,37.17,41.6,37.11,37.03,37.19,40.98,36.94,37.03
Ghana,31.64,53.36,32.79,32.75,36.6,52.5,34.33,32.71
Greece,36.53,42.26,41.96,41.66,41.66,42.19,38.49,40.23
Greenland,35.66,36.83,37.51,37.48,36.92,37.07,37.25,37.49
Grenada,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67
Guadeloupe,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33
Guatemala,31.98,29.39,31.42,31.7,32.26,29.57,31.24,31.52
Guernsey,0,0,100,100,0,0,100,100
Guinea,35.3,30.79,41.63,41.59,32.17,30.75,36.47,41.55
Guinea-Bissau,27.08,15.77,26.19,25.89,32.44,15.77,28.87,25.89
Guyana,20.12,14.86,22.54,22.5,21.31,14.9,21.83,22.92
Haiti,21.76,20.61,22.52,22.52,20.99,20.61,21.37,21.76
Honduras,34.9,32.33,38.1,37.57,34.01,32.42,36.15,37.66
Hong Kong,53.85,76.92,76.92,76.92,53.85,76.92,76.92,76.92
Hungary,23.69,62.38,31.08,30.98,27.65,62.38,27.12,30.98
Iceland,35.73,37.62,41.97,40.83,38.75,38.94,39.7,40.26
India,29.84,31.96,30.97,30.96,29.87,31.9,30.19,30.87
Indonesia,30.97,30.65,31.87,31.71,31.43,30.61,31.47,31.6
Iran,29.82,31.34,28.79,28.76,29.69,31.35,29,28.75
Iraq,16.34,10.71,20.15,20.01,20.37,10.75,20.4,20.04
Ireland,14.77,14.18,14.91,15.06,14.47,14.18,14.77,15.2
Isle of Man,40,40,60,60,40,40,40,60
Israel,42.53,97.29,54.75,54.75,49.32,96.83,52.94,54.75
Italy,31.11,30.84,32.98,33.01,31.68,31.17,32.01,32.78
Jamaica,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41
Japan,30.98,40.08,34.75,34.56,31.79,39.94,32.95,33.97
Jordan,34.01,71.83,27.95,27.61,37.04,71.72,33,27.5
Kazakhstan,28.44,31.67,26.75,26.75,29.61,31.7,27.72,26.9
Kenya,27.16,29.74,26.93,26.87,27.37,29.18,26.85,27.68
Kosovo,8.33,2.78,28.7,27.78,0.93,2.78,17.59,27.78
Kuwait,56.65,92.49,79.77,80.92,84.39,92.49,77.46,82.66
Kyrgyzstan,22.7,27.67,24.42,24.42,20.5,27.56,22.8,23.85
Laos,29.85,22.56,31.58,31.41,32.36,22.86,30.59,31.1
Latvia,27.37,37.01,34.84,34.68,28.46,37.01,32.19,34.37
Lebanon,14.42,18.27,21.15,22.12,23.08,19.23,21.15,21.15
Lesotho,12.79,11.48,11.8,12.13,12.13,11.48,11.8,12.13
Liberia,22.08,19.48,50.62,50.42,26.98,19.58,37.29,50.42
Libya,20.53,2.22,21.64,22.82,25.37,2.33,21.68,21.24
Liechtenstein,0,0,0,0,0,0,0,0
Lithuania,20.18,73.96,30.05,30.05,19.11,73.5,25.73,32.05
Luxembourg,48.15,70.37,48.15,48.15,48.15,62.96,48.15,48.15
Macedonia,21.95,20.33,34.55,34.15,29.27,20.33,31.71,31.3
Madagascar,30.01,30.28,31.27,31.27,30.18,30.28,30.5,31.15
Malawi,42.61,37.21,30.07,30.17,39.04,37,30.58,30.48
Malaysia,31.68,34.55,30.17,30.02,31.29,34.46,30.41,30.41
Mali,31.51,57.94,27.32,26.86,33.1,56.54,29.68,27.83
Malta,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33
Martinique,100,100,100,100,100,100,100,100
Mauritania,27.11,22.15,36.7,37.6,35.82,23.05,36.7,36.67
Mauritius,40,40,40,40,40,40,40,40
Mayotte,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33
Mexico,30.89,29.86,32.43,32.31,31.43,29.84,31.78,32.24
Moldova,7.04,3.23,1.47,1.47,15.25,3.23,7.62,2.05
Mongolia,31.68,43.44,32.04,31.97,30.51,43.39,30.91,31.94
Montenegro,48.48,37.12,27.27,27.27,19.7,35.61,28.03,26.52
Montserrat,50,50,50,50,50,50,50,50
Morocco,52.28,53.29,42.33,42.33,42.01,53.24,41.41,42.33
Mozambique,25.74,27.37,30.57,30.48,26.21,27.32,28.05,29.71
Myanmar,27.73,24.42,31.11,30.91,28.42,24.57,29.09,30.87
Namibia,43.09,43.81,43.32,43.29,43.86,43.79,43.44,43.28
Nepal,37.09,34.13,43.82,43.96,37.84,34.27,41.35,44.3
Netherlands,27.93,75.7,29.89,29.89,28.49,75.7,29.61,29.89
New Caledonia,37.36,37.36,37.91,37.91,37.36,37.36,37.91,37.91
New Zealand,39.77,39.77,40.46,40.46,39.92,39.77,40.19,40.49
Nicaragua,44.73,41.65,42.87,42.87,43.27,41.65,43.92,42.71
Niger,32.18,40.3,34.11,34.06,32.51,40.26,32.39,34.23
Nigeria,29.21,22.6,26.24,26.15,28.72,22.62,27.55,26.14
North Korea,31.33,0.08,26.14,26.14,28.73,0.08,26.79,27.03
Northern Cyprus,0,0,0,0,0,0,0,5.88
Norway,36.2,60.21,32.93,33.13,33.23,55.61,32.58,33.94
Oman,42.81,76.71,55.72,55.65,39.03,76.68,47.57,55.39
Pakistan,32.37,30.42,33.03,32.98,30.78,30.58,32.04,33.1
Palestina,72.13,4.92,31.15,27.87,34.43,4.92,27.87,29.51
Panama,33.69,32.76,34.48,34.48,33.42,32.49,34.35,34.62
Papua New Guinea,30.37,29.39,30.35,30.07,29.93,29.41,29.8,30.07
Paraguay,31.04,26.37,35.36,35.29,32.24,26.52,33.92,34.74
Peru,31.42,31.49,32.35,32.28,31.38,31.45,31.78,32.16
Philippines,33.76,33.76,35.33,35.33,34.03,33.79,34.3,35.09
Poland,40.92,43.74,41.08,41.15,40.89,43.74,40.92,41.08
Portugal,28.14,31.84,31.95,31.95,22.76,31.84,28.92,30.16
Puerto Rico,31.87,31.87,31.87,31.87,31.87,31.87,31.87,31.87
Qatar,11.21,92.24,49.14,49.14,12.93,91.38,49.14,46.55
Republic of Congo,23.08,19.85,25.73,25.61,23.81,19.91,24.74,25.67
Reunion,50,50,50,50,50,50,50,50
Romania,28.97,30.15,34.99,34.82,32.42,30.15,33.85,35.87
Russia,29.82,26.89,30.82,30.79,30.93,27.11,30.88,30.8
Rwanda,30.52,30.52,30.92,30.92,30.52,30.52,30.92,30.92
