"scenario","mean","min","max","low","high"
"S",1.0241412079195,0.203266787658802,1.99684542586751,0.893898173338515,1.23459893048128
"L",1.05838004413372,0.595281306715064,2,0.969457713479823,1.29987119615432
"C",1.06871754978872,0.701451905626134,1.90588235294118,0.991633495503465,1.24285334824549
"SL",1.03845948589043,0.47459165154265,1.70544369873229,0.952022029897718,1.24036432105793
"LS",1.06083807303766,0.625226860254083,2,0.972334061234703,1.28246038560612
"SC",1.02528306739448,0.204174228675136,1.98422712933754,0.904709748083242,1.25713286713287
"CS",1.06917864814856,0.689655172413793,1.94509803921569,0.997682279092226,1.24685917080259
"LC",1.06083807303766,0.625226860254083,2,0.972334061234703,1.28246038560612
"CL",1.05777558540941,0.633393829401089,2,0.970928050052138,1.28919678401374
"SLC",1.03845948589043,0.47459165154265,1.70544369873229,0.952022029897718,1.24036432105793
"SCL",1.02528306739448,0.204174228675136,1.98422712933754,0.904709748083242,1.25713286713287
"LSC",1.06083807303766,0.625226860254083,2,0.972334061234703,1.28246038560612
"LCS",1.06083807303766,0.625226860254083,2,0.972334061234703,1.28246038560612
"CSL",1.06014570273986,0.782051282051282,2,0.971198787379327,1.29751403108674
"CLS",1.05777558540941,0.633393829401089,2,0.970928050052138,1.28919678401374
