"scenario","mean","min","max","low","high"
"S",1.02358832408794,0.174418604651163,1.95471698113208,0.896396396396396,1.22616537416506
"L",1.05648784730566,0.569767441860465,2,0.96815210932858,1.31750194250194
"C",1.06755149321823,0.634883720930233,2,0.98764880952381,1.21932980643867
"SL",1.03446548267885,0.361240310077519,1.80344557556774,0.955710955710956,1.21410386228844
"LS",1.05598956883483,0.544961240310078,2,0.967336258512729,1.31750194250194
"SC",1.01541560750115,0.215503875968992,1.84181675802662,0.925460684565162,1.19486120377274
"CS",1.06792120179799,0.628682170542636,2,0.98764880952381,1.23627432009288
"LC",1.0296277115114,0.575968992248062,2,0.970832645651098,1.11718254791031
"CL",1.05548159322479,0.523255813953488,2,0.957153713648799,1.3035313668467
"SLC",1.02377612178464,0.455813953488372,1.74628034455756,0.960924145299145,1.11194078947368
"SCL",1.01541560750115,0.215503875968992,1.84181675802662,0.925460684565162,1.19486120377274
"LSC",1.02914187891496,0.5,2.18181818181818,0.972679227941176,1.12748540487364
"LCS",1.0296277115114,0.575968992248062,2,0.970832645651098,1.11718254791031
"CSL",1.05653067317386,0.501550387596899,2,0.961016989145823,1.29886887670756
"CLS",1.05548159322479,0.523255813953488,2,0.957153713648799,1.3035313668467
