"scenario","mean","min","max","low","high"
"S",1.19221524792317,0.00258397932816537,7.92307692307692,0.535291033706716,2.61875804375804
"L",1.12600368855815,0.304347826086957,4.44444444444444,0.751649049846936,1.54101694915254
"C",1.03987475591983,0.523333333333333,2.77949709864604,0.813011374694295,1.37227106227106
"SL",1.12669617252612,0.260869565217391,4.5,0.750858621043288,1.5325946969697
"LS",1.1262560670121,0.304347826086957,4.5,0.757133073295165,1.54528046421663
"SC",1.18108615443831,0.0180878552971576,8.07692307692308,0.54663601704418,2.5471400939486
"CS",1.03992362274223,0.523333333333333,2.77369439071567,0.813137877427176,1.37312459230267
"LC",1.12168200154678,0.375,4.30769230769231,0.771270908894062,1.54423076923077
"CL",1.12578142752576,0.217391304347826,4.5,0.749329275983483,1.53676277071376
"SLC",1.12403304183296,0.381944444444444,4.30769230769231,0.762976909303369,1.5325946969697
"SCL",1.1255325913543,0.217391304347826,4.44444444444444,0.748011049854009,1.52898732705499
"LSC",1.11938558903982,0.304347826086957,4.07692307692308,0.776625345098252,1.54101694915254
"LCS",1.12168200154678,0.375,4.30769230769231,0.771270908894062,1.54423076923077
"CSL",1.125649142546,0.217391304347826,4.44444444444444,0.747799930923678,1.56283483000597
"CLS",1.12578142752576,0.217391304347826,4.5,0.749329275983483,1.53676277071376
