GID_0,NAME_0,Country.Name,MeanIndex,SDIndex,RS,Comment,NAME_IDX
ABW,Aruba,Aruba,1.181310573,0.090912623,0,,1
AFG,Afghanistan,Afghanistan,-1.65038396,0.160739731,0,,2
AGO,Angola,Angola,-1.164287323,0.217384151,0,,3
AIA,Anguilla,Anguilla,1.138707968,0.225908217,0,,4
ALA,Åland,�land,1.846033073,0.074677986,1,,5
ALB,Albania,Albania,-0.280432532,0.219514746,0,,6
AND,Andorra,Andorra,1.359029088,0.040539569,0,,7
ARE,United Arab Emirates,United Arab Emirates,0.536988341,0.097724046,0,,8
ARG,Argentina,Argentina,-0.194715848,0.196541052,0,,9
ARM,Armenia,Armenia,-0.29545372,0.091654558,0,,10
ASM,American Samoa,American Samoa,0.747996542,0.127263717,0,,11
ATF,French Southern Territories,French Southern Territories,1.195386505,0.066634758,1,,12
ATG,Antigua and Barbuda,Antigua and Barbuda,0.687351067,0.143042045,0,,13
AUS,Australia,Australia,1.591281785,0.033468954,0,,14
AUT,Austria,Austria,1.559384567,0.080972183,0,,15
AZE,Azerbaijan,Azerbaijan,-0.846624728,0.123512239,0,,16
BDI,Burundi,Burundi,-1.268078437,0.158471911,0,,17
BEL,Belgium,Belgium,1.319634223,0.071200793,0,,18
BEN,Benin,Benin,-0.218193462,0.127956739,0,,19
BES,"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba",1.701882323,0.074456743,1,,20
BFA,Burkina Faso,Burkina Faso,-0.366500871,0.080816109,0,,21
BGD,Bangladesh,Bangladesh,-0.867798361,0.131257995,0,,22
BGR,Bulgaria,Bulgaria,0.184813008,0.083891457,0,,23
BHR,Bahrain,Bahrain,0.067605723,0.189151135,0,,24
BHS,Bahamas,"Bahamas, The",0.991141846,0.212121735,0,,25
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,-0.372397297,0.104595795,0,,26
BLM,Saint-Barthélemy,Saint-Barth�lemy,1.195386505,0.066634758,1,,27
BLR,Belarus,Belarus,-0.802611994,0.162344819,0,,28
BLZ,Belize,Belize,-0.04409972,0.194247714,0,,29
BMU,Bermuda,Bermuda,1.09504916,0.093746827,0,,30
BOL,Bolivia,Bolivia,-0.497169761,0.169003103,0,,31
BRA,Brazil,Brazil,-0.011933911,0.115742856,0,,32
BRB,Barbados,Barbados,1.154431864,0.145898851,0,,33
BRN,Brunei,Brunei Darussalam,0.56220785,0.107017371,0,,34
BTN,Bhutan,Bhutan,0.23294736,0.146927319,0,,35
BVT,Bouvet Island,Bouvet Island,1.731312725,0.052122365,1,,36
BWA,Botswana,Botswana,0.700464043,0.066840117,0,,37
CAF,Central African Republic,Central African Republic,-1.367475645,0.177923176,0,,38
CAN,Canada,Canada,1.62799237,0.031506629,0,,39
CCK,Cocos Islands,Cocos Islands,1.591281785,0.033468954,1,,40
CHE,Switzerland,Switzerland,1.748847192,0.048878812,0,,41
CHL,Chile,Chile,1.140265787,0.093182337,0,,42
CHN,China,China,-0.509329252,0.08034825,0,,43
CIV,Côte d'Ivoire,Cote d'Ivoire,-0.939472115,0.340572724,0,,44
