NAME_0,run.001_gap.0.01_flip_priority.FALSE_s.000_sum,run.002_gap.0.01_flip_priority.FALSE_s.100_sum,run.003_gap.0.01_flip_priority.FALSE_s.010_sum,run.004_gap.0.01_flip_priority.FALSE_s.110_sum,run.005_gap.0.01_flip_priority.FALSE_s.001_sum,run.006_gap.0.01_flip_priority.FALSE_s.101_sum,run.007_gap.0.01_flip_priority.FALSE_s.011_sum,run.008_gap.0.01_flip_priority.FALSE_s.111_sum,run.009_gap.0.01_flip_priority.TRUE_s.000_sum,run.010_gap.0.01_flip_priority.TRUE_s.100_sum,run.011_gap.0.01_flip_priority.TRUE_s.010_sum,run.012_gap.0.01_flip_priority.TRUE_s.110_sum,run.013_gap.0.01_flip_priority.TRUE_s.001_sum,run.014_gap.0.01_flip_priority.TRUE_s.101_sum,run.015_gap.0.01_flip_priority.TRUE_s.011_sum,run.016_gap.0.01_flip_priority.TRUE_s.111_sum,run.017_gap.0.05_flip_priority.FALSE_s.000_sum,run.018_gap.0.05_flip_priority.FALSE_s.100_sum,run.019_gap.0.05_flip_priority.FALSE_s.010_sum,run.020_gap.0.05_flip_priority.FALSE_s.110_sum,run.021_gap.0.05_flip_priority.FALSE_s.001_sum,run.022_gap.0.05_flip_priority.FALSE_s.101_sum,run.023_gap.0.05_flip_priority.FALSE_s.011_sum,run.024_gap.0.05_flip_priority.FALSE_s.111_sum,run.025_gap.0.05_flip_priority.TRUE_s.000_sum,run.026_gap.0.05_flip_priority.TRUE_s.100_sum,run.027_gap.0.05_flip_priority.TRUE_s.010_sum,run.028_gap.0.05_flip_priority.TRUE_s.110_sum,run.029_gap.0.05_flip_priority.TRUE_s.001_sum,run.030_gap.0.05_flip_priority.TRUE_s.101_sum,run.031_gap.0.05_flip_priority.TRUE_s.011_sum,run.032_gap.0.05_flip_priority.TRUE_s.111_sum,run.033_gap.0.1_flip_priority.FALSE_s.000_sum,run.034_gap.0.1_flip_priority.FALSE_s.100_sum,run.035_gap.0.1_flip_priority.FALSE_s.010_sum,run.036_gap.0.1_flip_priority.FALSE_s.110_sum,run.037_gap.0.1_flip_priority.FALSE_s.001_sum,run.038_gap.0.1_flip_priority.FALSE_s.101_sum,run.039_gap.0.1_flip_priority.FALSE_s.011_sum,run.040_gap.0.1_flip_priority.FALSE_s.111_sum,run.041_gap.0.1_flip_priority.TRUE_s.000_sum,run.042_gap.0.1_flip_priority.TRUE_s.100_sum,run.043_gap.0.1_flip_priority.TRUE_s.010_sum,run.044_gap.0.1_flip_priority.TRUE_s.110_sum,run.045_gap.0.1_flip_priority.TRUE_s.001_sum,run.046_gap.0.1_flip_priority.TRUE_s.101_sum,run.047_gap.0.1_flip_priority.TRUE_s.011_sum,run.048_gap.0.1_flip_priority.TRUE_s.111_sum
Afghanistan,41,10,85,6,132,6,153,6,41,10,85,50,132,20,155,96,41,10,85,51,132,100,167,72,41,10,85,51,132,6,165,27,52,10,85,63,132,132,166,166,52,10,85,86,132,10,168,6
Åland,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Albania,10,10,13,10,19,10,13,10,10,10,13,13,19,10,13,13,10,10,13,13,19,13,13,13,10,10,13,11,19,10,13,11,22,10,13,13,19,19,13,13,22,10,13,10,19,10,13,11
Algeria,547,370,572,399,523,337,615,428,547,370,572,644,523,475,535,514,547,370,572,644,523,514,584,577,547,370,572,643,523,320,579,513,440,370,572,619,523,524,577,577,440,370,572,585,523,359,600,473
Andorra,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,635,660,670,695,651,682,637,698,635,660,670,719,651,665,640,647,635,660,670,691,651,654,634,639,635,660,670,706,651,685,631,647,928,660,670,662,651,651,634,634,928,660,670,665,651,660,637,698
Argentina,1456,1454,1642,1498,1620,1464,1631,1487,1456,1454,1642,1610,1620,1507,1595,1561,1456,1454,1642,1644,1620,1585,1628,1599,1456,1454,1642,1536,1620,1451,1617,1503,1456,1454,1642,1633,1620,1620,1618,1620,1456,1454,1642,1617,1620,1454,1625,1490
Armenia,27,17,31,31,51,56,31,40,27,17,31,31,51,53,39,41,27,17,31,31,51,51,38,38,27,17,31,31,51,52,40,40,22,17,31,31,51,51,39,39,22,17,31,28,51,17,31,40
Australia,4431,4432,4532,4507,4621,4507,4581,4500,4431,4432,4532,4542,4621,4574,4582,4573,4431,4432,4532,4539,4621,4613,4571,4562,4431,4432,4532,4519,4621,4474,4573,4532,4573,4432,4532,4533,4621,4621,4571,4570,4573,4432,4532,4534,4621,4431,4570,4504
Austria,86,108,99,108,95,112,97,110,86,108,99,105,95,103,114,115,86,108,99,95,95,93,100,106,86,108,99,96,95,112,112,119,91,108,99,93,95,95,111,111,91,108,99,82,95,108,98,111
Azerbaijan,40,13,62,32,83,13,61,39,40,13,62,55,83,60,85,79,40,13,62,49,83,79,71,68,40,13,62,45,83,13,72,70,22,13,62,53,83,83,72,72,22,13,62,57,83,13,62,60
Bahamas,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
