Country.Name,Country.Code,MeanIndex,SDIndex,RS,Comment
Afghanistan,AFG,-1.65038396,0.160739731,0,
Albania,ALB,-0.280432532,0.219514746,0,
Algeria,DZA,-0.868376728,0.121773731,0,
American Samoa,ASM,0.747996542,0.127263717,0,
Andorra,AND,1.359029088,0.040539569,0,
Angola,AGO,-1.164287323,0.217384151,0,
Anguilla,AIA,1.138707968,0.225908217,0,
Antigua and Barbuda,ATG,0.687351067,0.143042045,0,
Argentina,ARG,-0.194715848,0.196541052,0,
Armenia,ARM,-0.29545372,0.091654558,0,
Aruba,ABW,1.181310573,0.090912623,0,
Australia,AUS,1.591281785,0.033468954,0,
Austria,AUT,1.559384567,0.080972183,0,
Azerbaijan,AZE,-0.846624728,0.123512239,0,
"Bahamas, The",BHS,0.991141846,0.212121735,0,
Bahrain,BHR,0.067605723,0.189151135,0,
Bangladesh,BGD,-0.867798361,0.131257995,0,
Barbados,BRB,1.154431864,0.145898851,0,
Belarus,BLR,-0.802611994,0.162344819,0,
Belgium,BEL,1.319634223,0.071200793,0,
Belize,BLZ,-0.04409972,0.194247714,0,
Benin,BEN,-0.218193462,0.127956739,0,
Bermuda,BMU,1.09504916,0.093746827,0,
Bhutan,BTN,0.23294736,0.146927319,0,
Bolivia,BOL,-0.497169761,0.169003103,0,
Bosnia and Herzegovina,BIH,-0.372397297,0.104595795,0,
Botswana,BWA,0.700464043,0.066840117,0,
Brazil,BRA,-0.011933911,0.115742856,0,
Brunei Darussalam,BRN,0.56220785,0.107017371,0,
Bulgaria,BGR,0.184813008,0.083891457,0,
Burkina Faso,BFA,-0.366500871,0.080816109,0,
Burundi,BDI,-1.268078437,0.158471911,0,
Cabo Verde,CPV,0.503752388,0.106368084,0,
Cambodia,KHM,-0.810152291,0.067200968,0,
Cameroon,CMR,-0.938479159,0.071967057,0,
Canada,CAN,1.62799237,0.031506629,0,
Cayman Islands,CYM,1.096123518,0.193933393,0,
Central African Republic,CAF,-1.367475645,0.177923176,0,
Chad,TCD,-1.293251888,0.158200182,0,
Chile,CHL,1.140265787,0.093182337,0,
China,CHN,-0.509329252,0.08034825,0,
Colombia,COL,-0.407686038,0.176085346,0,
Comoros,COM,-0.895277734,0.12614503,0,
"Congo, Dem. Rep.",COD,-1.661115808,0.146692507,0,
"Congo, Rep.",COG,-1.107846005,0.087980103,0,
Cook Islands,COK,0.003759369,0.585961808,0,
Costa Rica,CRI,0.620960549,0.079449976,0,
Cote d'Ivoire,CIV,-0.939472115,0.340572724,0,
Croatia,HRV,0.333830873,0.199900668,0,
Cuba,CUB,-0.594572656,0.090488572,0,
Cyprus,CYP,1.001205278,0.089303096,0,
Czech Republic,CZE,0.887359988,0.089288223,0,
Denmark,DNK,1.793095478,0.073467457,0,
Djibouti,DJI,-0.750432736,0.112826174,0,
Dominica,DMA,0.674231402,0.089853384,0,
Dominican Republic,DOM,-0.312396471,0.084720235,0,
Ecuador,ECU,-0.642164568,0.145689598,0,
"Egypt, Arab Rep.",EGY,-0.640287033,0.206100896,0,
